map,duration,elo,p1_civ,p2_civ,winner
3,3445,1104.0,38,25,0
5,2932,884.5,3,13,0
5,2573,905.5,9,24,0
3,851,1080.0,25,22,1
3,4737,1050.0,1,32,1
5,3367,1077.0,25,9,1
13,2712,1004.0,19,14,1
38,2583,994.5,10,8,1
3,2899,1672.5,38,25,0
3,1824,1135.0,9,18,1
5,2398,853.5,14,11,0
16,3162,937.0,23,12,1
3,2584,1394.5,11,14,1
3,1921,1173.0,1,22,0
1,1691,1555.0,22,25,1
36,1718,940.5,12,0,0
32,2999,1053.5,34,20,1
3,1045,1470.0,32,24,1
5,2895,991.5,3,22,0
5,1257,1053.5,8,35,1
5,2896,868.5,26,0,1
3,1707,997.0,22,12,0
3,1471,1135.5,3,12,0
3,2920,1445.0,35,32,1
3,1236,1407.5,20,3,0
13,3322,1033.0,0,3,1
3,3413,929.0,38,5,0
29,2896,1019.5,12,8,0
38,2772,1048.5,13,22,0
5,1729,837.5,12,4,1
5,3240,972.0,12,20,0
3,3733,1362.0,25,18,1
16,2051,1203.5,36,10,0
3,2504,913.0,18,32,0
3,2095,1221.0,22,5,0
5,2532,1134.5,34,3,1
3,1770,1313.0,11,38,0
3,1643,1058.5,8,0,0
3,2775,1046.5,26,3,0
10,2688,1138.0,27,22,0
5,3137,977.0,16,3,0
3,1597,1139.0,18,6,1
3,1576,1115.5,9,12,0
5,1465,1239.0,19,36,1
3,2547,906.0,23,14,0
3,2739,1420.0,11,1,1
3,1132,1328.5,3,9,1
3,1798,892.0,30,26,1
